#time [s]	#voltage [V]
0	-0.00142857142857143
4.96524329692155e-05	-0.00107142857142857
9.9304865938431e-05	-0.00107142857142857
0.000148957298907646	-0.00107142857142857
0.000198609731876862	-0.00107142857142857
0.000248262164846077	-0.000714285714285712
0.000297914597815293	-0.000714285714285712
0.000347567030784508	-0.00107142857142857
0.000397219463753724	-0.000357142857142858
0.000446871896722939	-0.000714285714285712
0.000496524329692155	-0.000714285714285712
0.00054617676266137	-0.000714285714285712
0.000595829195630586	0
0.000645481628599801	-0.000357142857142858
0.000695134061569017	-0.000357142857142858
0.000744786494538232	-0.000357142857142858
0.000794438927507448	0
0.000844091360476663	-0.000357142857142858
0.000893743793445879	0
0.000943396226415094	-0.000357142857142858
0.00099304865938431	0
0.00104270109235353	0.000714285714285716
0.00109235352532274	0
0.00114200595829196	0
0.00119165839126117	0.000357142857142854
0.00124131082423039	0
0.0012909632571996	0.000357142857142854
0.00134061569016882	0.000714285714285716
0.00139026812313803	0
0.00143992055610725	0
0.00148957298907646	0.000714285714285716
0.00153922542204568	0.00107142857142857
0.0015888778550149	0.00107142857142857
0.00163853028798411	0.00142857142857143
0.00168818272095333	0.00214285714285714
0.00173783515392254	0.00214285714285714
0.00178748758689176	0.00357142857142857
0.00183714001986097	0.00428571428571429
0.00188679245283019	0.00464285714285714
0.0019364448857994	0.00571428571428572
0.00198609731876862	0.00678571428571428
0.00203574975173784	0.00678571428571428
0.00208540218470705	0.0075
0.00213505461767627	0.0075
0.00218470705064548	0.00821428571428572
0.0022343594836147	0.00714285714285715
0.00228401191658391	0.00714285714285715
0.00233366434955313	0.00714285714285715
0.00238331678252234	0.0075
0.00243296921549156	0.00785714285714286
0.00248262164846077	0.00785714285714286
0.00253227408142999	0.0075
0.00258192651439921	0.0075
0.00263157894736842	0.0075
0.00268123138033764	0.0075
0.00273088381330685	0.00642857142857143
0.00278053624627607	0.00678571428571428
0.00283018867924528	0.00714285714285715
0.0028798411122145	0.00714285714285715
0.00292949354518371	0.00642857142857143
0.00297914597815293	0.0075
0.00302879841112215	0.0075
0.00307845084409136	0.00714285714285715
0.00312810327706058	0.00678571428571428
0.00317775571002979	0.00714285714285715
0.00322740814299901	0.00714285714285715
0.00327706057596822	0.0075
0.00332671300893744	0.0075
0.00337636544190665	0.00785714285714286
0.00342601787487587	0.00785714285714286
0.00347567030784508	0.00785714285714286
0.0035253227408143	0.00785714285714286
0.00357497517378352	0.00785714285714286
0.00362462760675273	0.00785714285714286
0.00367428003972195	0.00821428571428572
0.00372393247269116	0.00892857142857143
0.00377358490566038	0.01
0.00382323733862959	0.00928571428571428
0.00387288977159881	0.01
0.00392254220456802	0.01
0.00397219463753724	0.0110714285714286
0.00402184707050646	0.0107142857142857
0.00407149950347567	0.0114285714285714
0.00412115193644489	0.0114285714285714
0.0041708043694141	0.0110714285714286
0.00422045680238332	0.0117857142857143
0.00427010923535253	0.0117857142857143
0.00431976166832175	0.0125
0.00436941410129096	0.0125
0.00441906653426018	0.0125
0.00446871896722939	0.0125
0.00451837140019861	0.0125
0.00456802383316783	0.0121428571428571
0.00461767626613704	0.0117857142857143
0.00466732869910626	0.0121428571428571
0.00471698113207547	0.0121428571428571
0.00476663356504469	0.0117857142857143
0.0048162859980139	0.0121428571428571
0.00486593843098312	0.0121428571428571
0.00491559086395233	0.0121428571428571
0.00496524329692155	0.0128571428571429
0.00501489572989077	0.0125
0.00506454816285998	0.0125
0.0051142005958292	0.0128571428571429
0.00516385302879841	0.0125
0.00521350546176763	0.0125
0.00526315789473684	0.0125
0.00531281032770606	0.0121428571428571
0.00536246276067527	0.0114285714285714
0.00541211519364449	0.0117857142857143
0.0054617676266137	0.0107142857142857
0.00551142005958292	0.0103571428571429
0.00556107249255213	0.0110714285714286
0.00561072492552135	0.0107142857142857
0.00566037735849057	0.01
0.00571002979145978	0.0103571428571429
0.005759682224429	0.0103571428571429
0.00580933465739821	0.0110714285714286
0.00585898709036743	0.0110714285714286
0.00590863952333664	0.0114285714285714
0.00595829195630586	0.0117857142857143
0.00600794438927508	0.0114285714285714
0.00605759682224429	0.0117857142857143
0.00610724925521351	0.0121428571428571
0.00615690168818272	0.0110714285714286
0.00620655412115194	0.0107142857142857
0.00625620655412115	0.0110714285714286
0.00630585898709037	0.0110714285714286
0.00635551142005958	0.0103571428571429
0.0064051638530288	0.0107142857142857
0.00645481628599801	0.01
0.00650446871896723	0.0103571428571429
0.00655412115193644	0.0103571428571429
0.00660377358490566	0.01
0.00665342601787488	0.0107142857142857
0.00670307845084409	0.0103571428571429
0.00675273088381331	0.0110714285714286
0.00680238331678252	0.0103571428571429
0.00685203574975174	0.0114285714285714
0.00690168818272095	0.0107142857142857
0.00695134061569017	0.0117857142857143
0.00700099304865939	0.0110714285714286
0.0070506454816286	0.0121428571428571
0.00710029791459782	0.0114285714285714
0.00714995034756703	0.0117857142857143
0.00719960278053625	0.0117857142857143
0.00724925521350546	0.0125
0.00729890764647468	0.0121428571428571
0.00734856007944389	0.0117857142857143
0.00739821251241311	0.0114285714285714
0.00744786494538232	0.0110714285714286
0.00749751737835154	0.0114285714285714
0.00754716981132075	0.0110714285714286
0.00759682224428997	0.0107142857142857
0.00764647467725919	0.0110714285714286
0.0076961271102284	0.0107142857142857
0.00774577954319762	0.0107142857142857
0.00779543197616683	0.0110714285714286
0.00784508440913605	0.0107142857142857
0.00789473684210526	0.0110714285714286
0.00794438927507448	0.0114285714285714
0.00799404170804369	0.0107142857142857
0.00804369414101291	0.0107142857142857
0.00809334657398213	0.0103571428571429
